CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyOfWebsiteVisits,Churn
1,62,Male,New York,Silver,15.0,184.34492783302701,Clothing,2023-10-01,Manager,3,1
2,65,Female,Chicago,Gold,18.0,686.7896601300627,Clothing,2023-06-27,Doctor,5,1
3,18,Female,New York,Bronze,20.0,48.13945364233907,Clothing,2023-07-02,Manager,2,0
4,21,Female,Chicago,Gold,17.0,121.35278649565278,Home Goods,2023-05-21,Salesperson,5,0
5,21,Female,San Francisco,Silver,27.0,47.41858364931245,Electronics,2023-10-12,Manager,8,1
6,57,Female,Los Angeles,Bronze,16.0,1513.1488979245048,Clothing,2023-06-19,Engineer,6,1
7,27,Female,New York,Platinum,18.0,712.4839257984963,Home Goods,2023-03-22,Teacher,8,0
8,37,Male,Chicago,Gold,16.0,19.35662922023625,Home Goods,2023-07-18,Teacher,4,0
9,39,Male,San Francisco,Gold,18.0,465.1288713320966,Electronics,2023-02-03,Manager,9,0
10,68,Female,Miami,Silver,23.0,100.98921420991404,Home Goods,2023-03-12,Engineer,3,0
11,54,Female,Miami,Silver,20.0,746.0045106069055,Home Goods,2023-02-21,Engineer,2,1
12,41,Female,Chicago,Silver,21.0,116.03115823641383,Home Goods,2023-08-23,Teacher,5,1
13,24,Female,Los Angeles,Silver,16.0,580.4480351426644,Electronics,2023-12-12,Salesperson,4,0
14,42,Male,New York,Silver,23.0,720.4280950270846,Home Goods,2023-06-17,Salesperson,6,0
15,42,Female,Chicago,Bronze,19.0,317.3248846076413,Electronics,2023-11-21,Engineer,5,0
16,30,Male,Miami,Gold,28.0,688.788311850681,Home Goods,2023-12-22,Doctor,5,1
17,19,Male,San Francisco,Silver,23.0,237.97287239216314,Electronics,2023-12-20,Artist,4,0
18,56,Female,Chicago,Bronze,18.0,219.43563048723442,Clothing,2023-05-31,Artist,7,1
19,57,Female,San Francisco,Gold,17.0,18.975175131250165,Home Goods,2023-01-31,Engineer,1,1
20,41,Male,San Francisco,Bronze,20.0,252.68933171735614,Home Goods,2023-06-09,Teacher,7,0
21,64,Male,Miami,Gold,34.0,193.53657050319245,Electronics,2023-11-27,Engineer,6,0
22,42,Female,Chicago,Bronze,17.0,209.73439720014818,Electronics,2023-03-05,Artist,2,0
23,35,Male,Los Angeles,Silver,22.0,1658.6597125108792,Electronics,2023-05-04,Engineer,3,0
24,55,Male,San Francisco,Silver,21.0,1268.3160419768813,Home Goods,2023-11-18,Salesperson,7,0
25,43,Male,San Francisco,Gold,24.0,506.4569699426987,Home Goods,2023-06-28,Salesperson,1,1
26,31,Female,Chicago,Gold,18.0,891.5083895732969,Clothing,2023-10-19,Manager,7,0
27,26,Female,Miami,Silver,14.0,1378.6891977859593,Home Goods,2023-11-29,Salesperson,5,0
28,27,Female,Miami,Gold,24.0,433.2360599561591,Electronics,2023-01-21,Manager,10,0
29,38,Female,Los Angeles,Silver,21.0,338.7610733377754,Clothing,2023-02-26,Teacher,4,0
30,69,Female,Chicago,Bronze,22.0,865.576514405868,Clothing,2023-04-15,Manager,4,0
31,34,Female,Los Angeles,Bronze,24.0,2165.7544094715895,Home Goods,2023-09-16,Doctor,2,1
32,69,Female,Miami,Silver,14.0,1194.9552447630945,Clothing,2023-01-13,Manager,5,0
33,23,Male,Chicago,Silver,23.0,1714.5300499778957,Home Goods,2023-10-01,Teacher,7,0
34,33,Female,San Francisco,Bronze,14.0,26.123755516140758,Electronics,2023-03-29,Engineer,6,0
35,65,Male,Chicago,Bronze,23.0,377.67380192512854,Home Goods,2023-12-23,Doctor,4,0
36,18,Female,San Francisco,Bronze,21.0,267.5758435052202,Electronics,2023-05-25,Artist,5,0
37,36,Male,Miami,Bronze,21.0,481.7737815664406,Home Goods,2023-10-27,Manager,5,0
38,53,Male,San Francisco,Bronze,27.0,128.29222948492324,Home Goods,2023-07-06,Salesperson,4,0
39,42,Male,Chicago,Silver,19.0,1381.5948229086423,Electronics,2023-05-19,Teacher,1,0
40,67,Female,San Francisco,Bronze,21.0,1017.5301548227744,Home Goods,2023-11-29,Doctor,1,0
41,69,Female,Miami,Bronze,23.0,631.291770357653,Clothing,2023-11-29,Manager,3,0
42,47,Female,New York,Bronze,28.0,1105.427910708837,Home Goods,2023-09-02,Doctor,3,0
43,37,Female,Los Angeles,Bronze,17.0,308.9094168824648,Electronics,2023-03-09,Doctor,7,0
44,37,Female,Miami,Silver,21.0,213.99769500592365,Clothing,2023-09-10,Manager,3,0
45,32,Male,New York,Silver,23.0,228.99198650202996,Home Goods,2023-06-18,Engineer,2,0
46,57,Female,Los Angeles,Bronze,21.0,44.75265203107672,Clothing,2023-11-01,Salesperson,2,0
47,50,Female,Chicago,Gold,17.0,115.38478729319516,Clothing,2023-06-16,Salesperson,4,0
48,19,Female,Chicago,Silver,24.0,1274.5029598383533,Home Goods,2023-07-06,Salesperson,5,0
49,27,Female,Miami,Bronze,20.0,1570.1161491692333,Clothing,2023-09-29,Teacher,5,0
50,50,Female,San Francisco,Platinum,16.0,102.83991172441974,Electronics,2023-09-21,Artist,7,1
51,49,Female,San Francisco,Gold,22.0,167.0074643654916,Electronics,2023-12-17,Teacher,4,0
52,28,Female,Chicago,Bronze,34.0,57.54630692905465,Electronics,2023-04-17,Salesperson,2,1
53,41,Male,New York,Gold,16.0,122.56396391261977,Home Goods,2023-09-04,Salesperson,10,0
54,53,Female,Chicago,Silver,23.0,138.55934163627236,Clothing,2023-08-15,Doctor,3,1
55,29,Male,San Francisco,Bronze,20.0,12.240082997398694,Home Goods,2023-05-19,Teacher,5,0
56,68,Female,New York,Bronze,23.0,120.14777331205721,Home Goods,2023-06-14,Salesperson,3,1
57,46,Male,Los Angeles,Bronze,21.0,221.96810434904074,Clothing,2023-06-23,Salesperson,3,0
58,52,Female,Chicago,Gold,16.0,3811.5510367304914,Clothing,2023-09-30,Salesperson,9,0
59,18,Female,Los Angeles,Bronze,15.0,6.421457444250421,Electronics,2023-08-18,Teacher,6,1
60,18,Male,New York,Bronze,13.0,862.2989200727009,Clothing,2023-01-18,Engineer,7,0
61,54,Male,Miami,Platinum,18.0,876.2634531796799,Home Goods,2023-04-18,Manager,2,1
62,23,Female,Los Angeles,Platinum,,3126.7616392957475,Clothing,2023-12-09,Engineer,6,1
63,56,Male,San Francisco,Bronze,25.0,1085.5126070017836,Electronics,2023-12-07,Manager,6,0
64,58,Male,San Francisco,Silver,22.0,37.281710266330215,Clothing,2023-02-17,Artist,2,0
65,35,Male,Chicago,Silver,25.0,1353.1919126136293,Electronics,2023-07-09,Doctor,7,0
66,33,Male,San Francisco,Bronze,29.0,13.009786523855713,Home Goods,2023-08-26,Artist,2,1
67,22,Female,Miami,Gold,16.0,274.18579367641195,Clothing,2023-04-29,Salesperson,6,1
68,59,Male,Chicago,Bronze,14.0,291.3756952649193,Electronics,2023-10-22,Engineer,3,1
69,60,Female,Los Angeles,Bronze,18.0,197.75990391258466,Clothing,2023-01-10,Doctor,5,0
70,49,Female,New York,Silver,25.0,2058.565640977484,Electronics,2023-06-06,Engineer,4,0
71,19,Female,New York,Bronze,14.0,304.09820555388603,Home Goods,2023-08-22,Engineer,10,0
72,19,Female,New York,Gold,16.0,137.81055360474346,Home Goods,2023-10-29,Salesperson,7,0
73,57,Female,Miami,Bronze,23.0,716.3253269015405,Clothing,2023-09-18,Manager,4,0
74,59,Female,Miami,Bronze,30.0,119.50647468827135,Electronics,2023-10-29,Manager,5,0
75,53,Male,New York,Silver,16.0,162.16581452210772,Home Goods,2023-06-24,Manager,5,1
76,56,Male,Los Angeles,Gold,19.0,106.90085265548906,Home Goods,2023-02-19,Salesperson,6,1
77,29,Male,Chicago,Silver,31.0,1419.8748496738506,Electronics,2023-11-24,Engineer,2,0
78,64,Male,Miami,Gold,17.0,992.1590197865922,Home Goods,2023-09-12,Manager,7,1
79,36,Male,San Francisco,Bronze,22.0,303.41354190676174,Electronics,2023-10-10,Artist,4,0
80,45,Female,New York,Bronze,21.0,241.19839798394923,Electronics,2023-07-31,Teacher,5,0
81,18,Male,Chicago,Platinum,26.0,36.537458589448285,Electronics,2023-07-15,Salesperson,6,0
82,32,Female,Chicago,Bronze,22.0,133.98611547317975,Clothing,2023-03-03,Teacher,2,1
83,53,Male,Miami,Silver,29.0,80.62763718981743,Home Goods,2023-02-19,Teacher,4,1
84,30,Female,San Francisco,Gold,16.0,528.1279100945845,Clothing,2023-08-13,Manager,3,0
85,60,Female,Chicago,Platinum,20.0,1152.6257050925406,Clothing,2023-07-28,Salesperson,6,0
86,38,Male,Los Angeles,Gold,19.0,224.72392564557316,Electronics,2023-09-16,Doctor,2,0
87,29,Male,Los Angeles,Bronze,25.0,1045.0533566395914,Home Goods,2023-07-23,Doctor,7,0
88,22,Female,Miami,Silver,15.0,539.3964785135244,Electronics,2023-11-26,Doctor,13,1
89,24,Female,New York,Bronze,22.0,45.7806183912828,Electronics,2023-11-23,Manager,7,0
90,22,Male,Chicago,Bronze,15.0,1089.266101157107,Electronics,2023-10-31,Salesperson,4,0
91,65,Male,Chicago,Platinum,23.0,163.71717653203496,Electronics,2023-07-30,Teacher,9,0
92,21,Female,San Francisco,Silver,26.0,239.0403286278512,Home Goods,2023-07-04,Manager,4,0
93,30,Female,New York,Bronze,19.0,376.8596493605471,Electronics,2023-05-01,Doctor,10,0
94,54,Male,Chicago,Silver,17.0,57.11236184304873,Clothing,2023-11-12,Salesperson,8,0
95,58,Male,New York,Platinum,13.0,127.86725030582255,Home Goods,2023-09-20,Engineer,3,0
96,32,Male,Miami,Gold,20.0,128.7949755700384,Clothing,2023-02-10,Doctor,2,1
97,33,Male,San Francisco,Platinum,24.0,851.619696452108,Clothing,2023-04-09,Doctor,3,0
98,38,Female,Miami,Platinum,15.0,493.3882234757986,Electronics,2023-03-14,Teacher,7,0
99,53,Female,Los Angeles,Bronze,19.0,167.98342768093065,Home Goods,2023-11-05,Artist,7,0
100,41,Female,Los Angeles,Bronze,16.0,,Home Goods,2023-04-04,Artist,6,0
101,33,Female,New York,Bronze,16.0,910.4334266279333,Home Goods,2023-07-31,Salesperson,7,0
102,31,Male,Miami,Platinum,14.0,127.15841301774647,Electronics,2023-07-26,Artist,5,0
103,39,Male,Miami,Bronze,23.0,877.9509021953054,Clothing,2023-04-03,Teacher,7,1
104,66,Male,Chicago,Bronze,25.0,1258.7473489200624,Clothing,2023-01-15,Teacher,3,1
105,67,Female,San Francisco,Gold,16.0,438.5827006729514,Clothing,2023-10-29,Doctor,7,1
106,23,Male,Chicago,Bronze,25.0,428.48235406133017,Electronics,2023-09-10,Salesperson,7,0
107,59,Female,New York,Silver,25.0,22.73336645821766,Electronics,2023-10-04,Manager,5,1
108,53,Male,Los Angeles,Platinum,21.0,340.54242969592826,Clothing,2023-04-03,Manager,4,1
109,18,Male,New York,Platinum,20.0,1063.7266029362074,Clothing,2023-08-06,Doctor,5,0
110,49,Male,New York,Bronze,21.0,7.85071880269521,Electronics,2023-12-05,Artist,4,1
111,23,Female,Chicago,Bronze,17.0,347.24300696668104,Clothing,2023-12-21,Manager,5,1
112,48,Female,New York,Bronze,21.0,545.7916289855501,Electronics,2023-06-07,Teacher,3,1
113,18,Female,Chicago,Bronze,27.0,106.03648633829012,Home Goods,2023-11-20,Salesperson,4,1
114,67,Male,Miami,Silver,22.0,320.73650234164717,Home Goods,2023-05-18,Manager,6,0
115,68,Female,San Francisco,Silver,13.0,1671.89591917395,Home Goods,2023-01-21,Manager,7,1
116,54,Female,Miami,Silver,25.0,99.37229705460928,Clothing,2023-08-26,Salesperson,4,1
117,52,Female,San Francisco,Silver,21.0,1024.583110213606,Clothing,2023-07-28,Artist,8,0
118,66,Male,Chicago,Bronze,19.0,69.09879007965826,Clothing,2023-02-24,Artist,6,0
119,47,Female,New York,Bronze,23.0,356.93340392284273,Clothing,2023-05-05,Artist,6,0
120,21,Female,Miami,Silver,17.0,299.3200963145222,Home Goods,2023-12-24,Artist,5,0
121,52,Male,San Francisco,Bronze,28.0,3.38153353928622,Clothing,2023-06-18,Engineer,5,0
122,60,Male,Chicago,Bronze,19.0,621.825781086677,Home Goods,2023-06-07,Engineer,7,0
123,31,Male,San Francisco,Bronze,18.0,59.21651177737187,Home Goods,2023-11-29,Salesperson,3,0
124,66,Male,Miami,Silver,18.0,726.5903104190797,Home Goods,2023-05-21,Engineer,2,1
125,57,Male,Chicago,Bronze,20.0,41.55221447940275,Electronics,2023-03-07,Engineer,5,0
126,39,Male,Miami,Bronze,22.0,135.65449870296578,Home Goods,2023-02-24,Salesperson,2,0
127,27,Female,San Francisco,Gold,18.0,298.51624575617194,Clothing,2023-01-28,Salesperson,8,1
128,18,Male,Chicago,Gold,19.0,581.0347006179378,Clothing,2023-08-05,Salesperson,7,1
129,28,Female,Los Angeles,Silver,14.0,282.98521260337367,Electronics,2023-09-12,Engineer,10,1
130,68,Male,Miami,Bronze,21.0,31.440286230897918,Home Goods,2023-01-21,Manager,4,0
131,61,Female,San Francisco,Silver,16.0,68.24763947041059,Clothing,2023-09-21,Teacher,4,0
132,41,Male,Chicago,Bronze,29.0,77.07514547420382,Clothing,2023-08-11,Teacher,6,0
133,20,Female,Los Angeles,Gold,22.0,299.5460382060225,Clothing,2023-09-29,Engineer,3,1
134,52,Male,Los Angeles,Gold,22.0,192.20644621489672,Home Goods,2023-04-17,Manager,6,0
